path,type,Language,translationOf,id,title,text,description,hebergements,state,image
idee-sejour/plus-verblijven,IdeeSejourFolder,nl,idee-sejour/sejour-plus,plus-verblijven,Plus verblijf,,"
<p>Vrije tijd à la carte, op eigen tempo en naar eigen wens.</p>
<p>Een ‘Plus’-gîte of -gastenkamer is in de eerste plaats een kwalitatief logeeradres van de Gîtes de Wallonie. Het logies is aangepast aan uw noden en laat u leven volgens uw wensen.</p>
",,publish,
idee-sejour/plus-verblijven/idee-baby-lief-verblijf,IdeeSejour,nl,idee-sejour/sejour-plus/sejour-bebe-tendresse,idee-baby-lief-verblijf,‘Baby-lief’ verblijf,"
<p align=""center""><b><img src=""sejour-plus-bebe-tendresse"" alt=""‘Baby-lief’-verblijf in een gîte of gastenkamer"" /></b></p>
<p>Een stiekem geplukte appel, een veldbloem die naar vrijheid geurt, een vallei met een adembenemend panorama, graanhalmen die kietelen aan de benen, het tjilpen van de vogels in de vroege ochtend… en de herinnering aan de plattelandswoning die we met plezier terug ontdekken, dat is wat de Gîtes de Wallonie aanbieden.</p>
<p>Omdat op vakantie gaan met baby’s en peuters niet altijd gemakkelijk is, stellen de Gîtes de Wallonie u de ‘Baby-lief’-verblijven voor. Uw gastheren stellen al het nodige materiaal ter beschikking voor een vakantie met uw kleine kinderen: een aangepast bed, een plooistoel, een luiermatras, een flessenwarmer, onbreekbare vaat, een eerstehulpset.</p>
<p></p>
<p>Zij stellen u ook activiteiten voor waar het hele gezin kan aan deelnemen, toeristische attracties die toegankelijk zijn met een kinderwagen, activiteiten voor alle leeftijden… en zelfs de adresgegevens van een babysit om eens een avond met zijn tweeën door te brengen.<b><br /></b></p>
",Herontdek het plezier van uw kindertijd. Wie heeft geen herinneringen uit zijn jonge jaren aan een vakantie op het platteland?,547|629|758|899|953|955|158|83|530|452|384|233|505|879|902|962|167|799|913|1|857|373|106|124|136|242|270|374|402|427|516|343|541|77|633|772|794|797|844|842|874|909|876|616|30|32|90|177|189|576|341|1140|134|502|368|1032|1085|851|1062|1288|1289|202|960|1136|1121|798|1134|682,publish,
idee-sejour/plus-verblijven/idee-baby-lief-verblijf/bbt.jpg,Vignette,,,bbt.jpg,Idée Séjour Bébé Tendresse,,Séjour Bébé Tendresse en gîte ou chambre d'hôtes,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/plus-verblijven/idee-baby-lief-verblijf/bbt.jpg
idee-sejour/plus-verblijven/idee-baby-lief-verblijf/sejour-plus-bebe-tendresse,Image,,,sejour-plus-bebe-tendresse,Séjour Plus Bébé Tendresse,,"Les gîtes et chambres d'hôtes Bébé Tendresse, le coup de pouce aux jeunes familles",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/plus-verblijven/idee-baby-lief-verblijf/sejour-plus-bebe-tendresse
idee-sejour/plus-verblijven/verblijf-2018toegankelijk-voor-elk-van-ons2019,IdeeSejour,nl,idee-sejour/sejour-plus/sejour-accessible-a-tous,verblijf-2018toegankelijk-voor-elk-van-ons2019,‘Toegankelijk voor elk van ons’ verblijf ,"
<p align=""center""><b><img src=""plus-verblijf-toegankelijk-voor-elk-van-ons"" alt=""Verblijf ‘Toegankelijk voor elk van ons’"" /></b></p>
<p align=""left"">Breken met de stress van elke dag is belangrijk voor iedereen. Daarom geven de verblijven van het type ‘Toegankelijk voor elk van ons’ aan iedereen de kans om een aangename vakantie te beleven. Want een fysieke of mentale handicap, al is het maar tijdelijk, mag geen reden zijn om onze vrijheid te beperken.</p>
<p align=""left"">Elke gîte of gastenkamer van het type ‘Toegankelijk voor elk van ons’ heeft een label in functie van het soort handicap of gebrek.</p>
<p align=""left"">De criteria waar rekening wordt mee gehouden, zijn de volgende:</p>
<ul>
<li>de zelfstandige rolstoelgebruiker: persoon in een rolstoel die zich autonoom kan verplaatsen</li>
<li>de rolstoelgebruiker met assistentie: persoon in een rolstoel met een beperkte autonomie en die hulp nodig heeft</li>
<li>persoon die moeilijk kan gaan: persoon met een wandelstok, kruk of looprek</li>
<li>slechtzienden</li>
<li>slechthorenden</li>
<li>persoon met problemen om andere mensen te begrijpen</li></ul>
<p>Van elke gîte of gastenkamer van het type ‘Toegankelijk voor elk van ons’ kunt u een gedetailleerd dossier krijgen bij het <a title=""La Maison des Gîtes de Wallonie"" href=""../../../contacts/la-maison-des-gites-de-wallonie"">Maison des Gîtes de Wallonie</a> of rechtstreeks bij de eigenaar.</p>
","Een onthaal voor iedereen. De gîtes en gastenkamers ‘Toegankelijk voor elk van ons’ zijn opgezet om iedereen, ook mensen met een handicap, te laten genieten van een vakantie.",756|204|209|3|52|521|506|207|946|270|150|607|953|433|648|347|374|58|355|12|385|17|926|560|1156|1134|862,publish,
idee-sejour/plus-verblijven/verblijf-2018toegankelijk-voor-elk-van-ons2019/idee-verblijf-toegankelijk-voor-elk-van-ons,Vignette,,,idee-verblijf-toegankelijk-voor-elk-van-ons,Idee Verblijf ‘Toegankelijk voor elk van ons’,,Verblijf ‘Toegankelijk voor elk van ons’ in een gîte of gastenkamer,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/plus-verblijven/verblijf-2018toegankelijk-voor-elk-van-ons2019/idee-verblijf-toegankelijk-voor-elk-van-ons
idee-sejour/plus-verblijven/verblijf-2018toegankelijk-voor-elk-van-ons2019/plus-verblijf-toegankelijk-voor-elk-van-ons,Image,,,plus-verblijf-toegankelijk-voor-elk-van-ons,Plus-verblijf ‘Toegankelijk voor elk van ons’,,"De gîtes en gastenkamers ‘Toegankelijk voor elk van ons’, om samen te zijn, zelfs al zijn we verschillend.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/plus-verblijven/verblijf-2018toegankelijk-voor-elk-van-ons2019/plus-verblijf-toegankelijk-voor-elk-van-ons
idee-sejour/plus-verblijven/antiallergisch-verblijf,IdeeSejour,nl,idee-sejour/sejour-plus/sejour-antiallergique,antiallergisch-verblijf,Antiallergisch verblijf,"
<p align=""center""><b><img src=""plus-verblijf-antiallergisch"" alt=""Plus-verblijf ‘Antiallergisch’"" /></b></p>
<p>De Antiallergische gîtes en gastenkamers liggen in een natuurlijke en gezonde omgeving en zijn ideaal voor personen die lijden aan allergieën. De eigenaar verbiedt huisdieren en er mag niet gerookt worden in het logies. Hij ziet er ook op toe dat het beddengoed en zelfs het geheel van de inrichting  niet kan leiden tot het opduiken van mijten of soortgenoten.</p>
<p class=""discreet"">Onze partners voor de ‘Antiallergische gîtes en gastenkamers:</p>
<ul><li>
<p class=""discreet""><a href=""http://www.oasis-allergies.org/"" target=""_blank"">Prévention des allergies asbl</a></p>
</li></ul>
",Een allergie! Een bekend klinkend woord en een bron van zorgen... Met de ‘Antiallergische’   gîtes en gastenkamers bieden de Gîtes de Wallonie u een vakantie in een ‘zuivere’ omgeving.,149|741|742|77|1040|686|543|912|447,publish,
idee-sejour/plus-verblijven/antiallergisch-verblijf/plus-verblijf-antiallergisch,Image,,,plus-verblijf-antiallergisch,Plus-verblijf Antiallergisch,,"De ‘Antiallergische’ gîtes en gastenkamers, vakantie in een zuivere omgeving.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/plus-verblijven/antiallergisch-verblijf/plus-verblijf-antiallergisch
idee-sejour/plus-verblijven/antiallergisch-verblijf/idee-antiallergisch-verblijf,Vignette,,,idee-antiallergisch-verblijf,Idee Antiallergisch verblijf,,Antiallergisch verblijf in een gîte of gastenkamer,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/plus-verblijven/antiallergisch-verblijf/idee-antiallergisch-verblijf
