path,type,Language,translationOf,id,title,text,description,hebergementsConcernes,maisonsTourisme,startDate,endDate,state,image
sejour-fute/belgique-pays-de-la-biere,SejourFute,fr,,belgique-pays-de-la-biere,"Belgique, pays de la bière","
<p align=""center""><img class=""image-inline"" src=""sejour-biere-en-chambre-d-hotes"" alt=""séjour bière en chambre d'hôtes"" /></p>
<p align=""left""><br />La Belgique est un pays où il fait bon vivre. Sa gastronomie est bien connue et son art brassicole peut-être encore plus.</p>
<p align=""left"">La Belgique regorge de lieux de découvertes liés à la bière : abbayes, cafés, brasseries, musées... Nos propriétaires se feront un plaisir de vous guider vers les bières reconnues mais aussi vers des petits trésors régionaux.</p>
<p align=""left"">Nos propriétaires de chambres d'hôtes vous invitent également à découvrir ses richesses via l'art de la table.  Ils vous proposeront des menus traditionnels ou originaux mais toujours savoureux où la bière sera intégrée dans la préparation des plats.  Certains vous proposeront même de repartir avec les recettes.</p>
<p class=""discreet"">Pour bénéficier de cette table d'hôtes spéciale, n'oubliez pas de le préciser lors de la réservation de votre séjour.</p>
",Profitez de votre séjour en chambre d'hôtes pour déguster des menus à la bière.,1376|1405|1406|1407|1126|1268|1334|1269|1411|1412|1413|1260|899|1316|1500|1501|1502|1503|840|1281|1000|1374|1375|1083|1371|1370|894|330|1484|1485|1487|1486|709|1352|1353|143|704|1306|378|1300|1027|1380|1381|324|1421|1422|1423|1193|1387|1386|1005|102|1337|1338|156|1344|1345|1160|1323|1113|977|1318|241|199|1349|1348|1389|1388|1246|1332,,2009/05/12,2010/12/31,publish,
sejour-fute/belgique-pays-de-la-biere/biere-belgique-gite-et-chambre-d-hotes,Vignette,,,biere-belgique-gite-et-chambre-d-hotes,Bière belgique gîte et chambre d'hôtes,,chambre d'hôtes et gîte Belgique,,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/belgique-pays-de-la-biere/biere-belgique-gite-et-chambre-d-hotes
sejour-fute/belgique-pays-de-la-biere/sejour-biere-en-chambre-d-hotes,Image,,,sejour-biere-en-chambre-d-hotes,séjour bière en chambre d'hôtes,,belgique chambre d'hôtes bière,,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/belgique-pays-de-la-biere/sejour-biere-en-chambre-d-hotes
sejour-fute/gaume-jazz-festival,SejourFute,fr,,gaume-jazz-festival,Gaume jazz festival,"
<p align=""center""><img class=""image-inline"" src=""gaume-jazz-festival-hebergement-a-tintigny"" alt=""Gaume jazz festival hébergement à Tintigny"" /><br /></p>
<p>Le Gaume Jazz Festival décline la saveur des jazz de Belgique et d'Europe en une grande fête artistique et conviviale devenue un must de l'été culturel et touristique. Cette édition a lieu à Rossignol, dans le ""micro-climat"" gaumais de la commune de Tintigny, entre Florenville &amp; Arlon, Virton &amp; Neufchâteau.</p>
<p>De 20 à 30 groupes sélectionnés en fonction de l'actualité, de la qualité et de la diversité stylistique donnent des concerts durant trois jours.</p>
<p></p>
<br />
<p class=""discreet"">En savoir plus...</p>
<ul><li>
<p class=""discreet""><a href=""http://www.gaume-jazz.be"" target=""_blank"">Gaume-jazz festival</a></p>
</li></ul>
<ul><li>
<p class=""discreet""><a href=""http://www.soleildegaume.com/"" target=""_blank"">Maison du tourisme de Gaume</a></p>
</li></ul>
","Du 14 au 16 août 2009 ,Gaume jazz festival à Tintigny",,29,2009/06/08,2009/08/17,publish,
sejour-fute/gaume-jazz-festival/gaume-jazz-festival-lgement-gite-tintigny,Vignette,,,gaume-jazz-festival-lgement-gite-tintigny,Gaume jazz festival logement gîte Tintigny,,"Logement à proximité de Tintigny, Gaume jazz festival",,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/gaume-jazz-festival/gaume-jazz-festival-lgement-gite-tintigny
sejour-fute/gaume-jazz-festival/gaume-jazz-festival-hebergement-a-tintigny,Image,,,gaume-jazz-festival-hebergement-a-tintigny,Gaume jazz festival hébergement à Tintigny,,gîte et chambre d'hôtes tintigny Gaume Jazz Festival,,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/gaume-jazz-festival/gaume-jazz-festival-hebergement-a-tintigny
sejour-fute/trodelmarkt-von-temploux,SejourFute,de,sejour-fute/brocante-de-temploux,trodelmarkt-von-temploux,Trödelmarkt von Temploux,"<p align=""center""><img class=""image-inline"" src=""brocante-de-temploux-1"" alt=""Trödelmarkt von Temploux"" /><br /></p>
<p>An diesem Wochenende ist das kleine Dorf Temploux bei Namur Schauplatz des größten belgischen Trödelmarkts: ein unumgänglicher Treffpunkt von Trödlern und Liebhabern und Sammlern von Trödelwaren. <br /></p>
<p>Von Samstagmorgen bis 18 Uhr stehen Sammlungen im Mittelpunkt: alte Bücher und Dokumente, Comics, Schallplatten, Münzen, Briefmarken, Postkarten, Pins.</p>
<p>Von Samstagabend bis Sonntag um 18 Uhr gibt der Trödelmarkt rund um die Uhr und über eine Strecke von mehr als 6 km in Temploux den Ton an. Eine einmalige Gelegenheit für echte Schnäppchen. <br /></p>
<p>Die Nacht verleiht dem Trödelmarkt einen besonderen Reiz. In den Zelten spielen Orchester und das ganze Dorf ist in Feststimmung. Um Mitternacht erhellt ein Feuerwerk den Nachthimmel von Temploux.</p>
<p class=""discreet"">Mehr Infos...</p>
<ul><li>
<p class=""discreet""><a href=""http://temploux.be/brocante/index/index.php?l=fr"" target=""_blank"">Trödelmarkt von Temploux</a></p>
</li><li>
<p class=""discreet""><a href=""http://http://www.mtpn.be/"" target=""_blank"">Maison du Tourisme du Pays de Namur</a></p>
</li></ul>
<p></p>",Am 23. und 24. August 2008 findet in Temploux der wahrscheinlich größte Trödelmarkt Belgiens statt.,,34,2008/08/01,2008/08/24,publish,
sejour-fute/trodelmarkt-von-temploux/brocante-de-temploux,Vignette,,,brocante-de-temploux,Brocante de Temploux,,Gîtes et chambres d'hôtes à proximité de Temploux,,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/trodelmarkt-von-temploux/brocante-de-temploux
sejour-fute/trodelmarkt-von-temploux/brocante-de-temploux-1,Image,,,brocante-de-temploux-1,Brocante de Temploux,,"Brocante de Temploux, hébergement en chambre d'hôtes ou gîte",,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/trodelmarkt-von-temploux/brocante-de-temploux-1
sejour-fute/fete-des-meres-et-des-peres,SejourFute,,,fete-des-meres-et-des-peres,Fête des Mères et des Pères,"
<p align=""center""><img class=""image-inline"" src=""fetes-des-meres-et-fete-des-peres"" alt=""fêtes des Mères et fête des pères"" /><br /></p>
<p>Et si cette année vous offriez à vos parents... un ""Moment Privilégié"", un cadeau à vivre, un souvenir inoubliable !<br />En gîtes et en chambre d'hôtes Gîtes de Wallonie, tout sera mis en oeuvre pour faire de ce séjour un 
séjour inédit.</p>
<p>Au programme : balade tonique dans la  campagne, séjour découverte ou 
bien-être, cours de cuisine, petit plaisir gastronomique...</p>
<p>Nous avons même pensé aux jeunes mamans avec les idées séjours <a href=""/idee-sejour/sejour-plus/sejour-bebe-tendresse"">bébé tendresse</a>.<br />Le tout dans des hébergement authentiques.<br />Une vraie pause détente en attendant l'été.</p>
<p>N’hésitez pas à contacter le propriétaire pour
connaître la surprise qu’il vous a réservée.</p>
<p></p>
","Du 1er mai au 30 juin 2008, les Gîtes de Wallonie mettent à l'honneur les mamans et les papas.",944|312|570|618|170|709|242|909|917|655|26|812|1027|916|665|664|1140|149|1129|640|818|908|364|569|167|102|1007,,2008/04/22,2008/06/29,publish,
